x_mm,relative_change_1.0e+04,relative_change_3.0e+04,relative_change_5.0e+04,relative_change_6.0e+04,relative_change_8.0e+04,relative_change_1.0e+05
29.272727,3.729989,-5.318308,-24.624761,-35.153670,-54.108142,-68.608612
29.575758,1.277548,-11.366118,-31.506683,-41.650049,-59.200839,-72.251731
29.878788,-1.088072,-16.738787,-37.287439,-47.008177,-63.308330,-75.158941
30.181818,-3.344608,-21.487232,-42.154981,-51.451632,-66.652925,-77.506000
30.484848,-5.474216,-25.664579,-46.261525,-55.152845,-69.397173,-79.418400
30.787879,-7.462966,-29.322578,-49.729795,-58.245410,-71.661656,-80.987462
31.090909,-9.300281,-32.509530,-52.658546,-60.833355,-73.536968,-82.280721
31.393939,-10.978397,-35.269194,-55.127179,-62.998067,-75.091912,-83.348807
31.696970,-12.491833,-37.640343,-57.199477,-64.803451,-76.379193,-84.230196
32.000000,-13.836920,-39.656690,-58.926584,-66.299778,-77.439424,-84.990262
