frequency_hz,frequency_khz,num_cycles,num_particles,total_simulation_time_s,peak_increase_percent,peak_position_mm,concentration_std,concentration_cv,computation_time_s
8000,8,100,44000,0.0125,26.76049653997073,11.018036072144287,153.2060565593567,0.15488524912839124,29.247510600020178
10000,10,100,44000,0.01,24.220606203389057,8.312625250501002,135.8263679497021,0.13645862888432025,23.90445199998794
12000,12,100,44000,0.008333333333333333,21.893147984953014,7.050100200400801,126.21723615218923,0.13017675013782465,20.19846680003684
16000,16,100,44000,0.00625,18.059899161596977,26.529058116232463,106.81658627685876,0.10873539981844153,15.395923400006723
