frequency_hz,frequency_khz,num_cycles,num_particles,total_simulation_time_s,peak_increase_percent,peak_position_mm,concentration_std,concentration_cv,computation_time_s
8000,8,1000,44000,0.125,713.3674196340216,10.657314629258517,1837.9752163513156,1.7619479427557427,324.53282140003284
10000,10,1000,44000,0.1,599.4933175497213,25.507014028056112,1679.9892261777586,1.5502282954354933,273.09906510001747
12000,12,1000,44000,0.08333333333333333,473.31900068975915,21.238476953907814,1390.005121346386,1.494107280553542,244.10851210000692
16000,16,1000,44000,0.0625,332.0694921910602,26.589178356713425,1147.7537999092835,1.1239171398970997,182.9774533000309
